Импетиго,Поверхностное гнойничковое заболевание кожи.
Социопатия,"антисоциальное расстройство личности; психическое отклонение, для которого характерно игнорирование (невозможность соблюдения) общественных норм, агрессивность, неадекватное поведение на людях"
Тривиальный,"Лишенный новизны, банальный"
Дистиляция,очищение воды от примесей.
Антипо́д,что-нибудь противоположное другому в чём-либо.
Дихотомия,"последовательное деление на две части, затем каждой части снова на две и тд"
Азимут,Угол между направлением на север (в Южном полушарии — на юг) и направлением на какой-либо удалённый предмет.
Антиномия,"противоречие между положениями, каждое из которых признается логически доказуемым"
Дортуа́р,Общая спальня для учащихся в закрытых учебных заведениях.
Тренчик,"Приспособление, которое удерживает свободный конец поясного ремня."
Панибратство,"непочтительное, фамильярное обращение с тем, кто требует уважительного отношения"
Хиджра,год переселение Мухаммеда из Мекки в Медину
Корреля́ция,"взаимосвязь нескольких величин, при которой изменение одной/нескольких из них приводит к изменению других."
Муар,"Плотная шелковая ткань с волнообразным отливом и узором, возникающим при наложении двух сетчатых рисунков."
Пассаж,"неожиданное происшествие, неожиданный оборот дела"
Эмбриогенез,Процесс развития зародыша животного.
Преюдиция,Предрешение фактов установленных вступившим в законную силу решением суда.
Пейоратив,"Пейоратив, или пейоративный — слова и словосочетания, выражающие негативную оценку чего-либо или кого-либо, неодобрение, порицание, иронию или презрение."
Балисонг,складной нож-бабочка
Памфле́т,"разновидность художественно-публицистического произведения, обычно направленного против политического строя в целом или его отдельных сторон, против той или иной общественной группы, партии, правительства и т. п., "
Пассеизм,"чрезмерное пристрастие к прошлому, при этом равнодушное или пренебрежительное отношение к настоящему"
Мнемоника,"методики и способы, повышающие способности к запоминанию и увеличивающие объемы памяти через искусственно создаваемые ассоциации"
Акро́ним,"вид аббревиатуры, образованной начальными звуками"
Апофегма,Краткое и меткое наставительное изречение
Витолье,"Консультант по сортам сигар, их правильному раскуриванию и сочетанию с напитками."
Ка́пча,"Компьютерный тест, который определяет, кем является пользователь системы — человеком или компьютером."
Мадрига́л,"небольшое музыкально-поэтическое произведение, обычно хвалебного, любовно-лирического содержания"
Боваризм,"смешение грез с реальностью, невозможность четко разграничить фантазию и действительность, способность человека представлять себя иным, чем он есть на самом деле"
Феррул,металлическая часть на конце карандаша со стеркой.
Абсо́рбция,"поглощение, всасывание какого-либо вещества из раствора или из газа всей массой другого вещества."
Амок,внезапно возникающее буйное психическое расстройство
Вето,право лица или государственного органа на запрет чего-либо или на сам запрет
Спесивый,"высокомерный, кичливый"
Коллаборационист,"предатель, сотрудничающий с врагами своей родины, своего народа"
Перфекционизм,"стремление к совершенству, следование завышенным идеалам, повышенная требовательность к себе и окружающим; может рассматриваться как положительная черта личности, но также может восприниматься как патологическая форма невротического расстройства"
Пробст,"Происходит от лат. praepositus или propositus = начальник — титул в христианских церквях. У католиков — настоятель церкви, монастыря."
Паракорд,"это трос или шнурок, который используется для закрепления парашюта. Иногда им обматывают ножи, инструменты, фляги. Еще из него плетут красивые браслеты"
Криптография,"специальная система изменения обычного письма, используемая с целью сделать текст понятным лишь для ограниченного числа лиц, знающих эту систему."
Приоритет,главенство и первостепенность чего бы то ни было над всем остальным
Делиберативный,"имеющий отношение к обсуждению, дискуссии"
Термоцепция,Чувствительность к температуре (тепло-холод).
Лапидация,Вид казни (наказания) - забрасывание камнями.
Хула,"Прямое резкое осуждение человека, его поступков"
Ези́ды,"этноконфессиональная группа, произошедшая от арийской группы"
Дауншифтер,"Человек склонный отказываться от достижения собственных целей, от собственного развития."
Глосса́рий,собрание непонятных слов или выражений с толкованием (толковый глоссарий) или переводом на другой язык (переводной глоссарий)
Виктимность,устойчивое личностное качество становиться жертвой преступлений против себя самого
Регенера́ция,"способность живых организмов со временем восстанавливать повреждённые ткани, а иногда и целые потерянные органы. "
Конси́лиум,совещание нескольких ученых одной или различных специальностей.
Репарация,возмещение побежденной стороной материального ущерба в результате военных действий победителю
Педалировать,"акцентировать, выделять, выдвигать, особо отмечать, подчеркивать, делать упор"
Дискламация,"Объявление о том, что определенный элемент какой-либо торговой марки не подлежит защите при регистрации, так как не отвечает законам или специальным регистрационным требованиям"
Парестези́я,"Один из видов расстройства чувствительности, характеризующийся ощущениями онемения, чувства покалывания, ползания мурашек."
Шикана,злоупотребление правом с намерением причинить вред другому лицу
Паноптикум,"музей разных примечательных вещей (восковых фигур, каких-либо редкостей и т.п.); сборище чего-либо невероятного, жуткого"
Муссировать ," упорно обсуждать, преувеличивать."
Баратрия,Умышленный ущерб грузу или судну из-за действий капитана или членов судовой команды. Риск баратрии страхуется судовладельцем.
Патетичный,"исполненный пафоса, страстно-взволнованный."
Прокрастинация,"понятие в психологии, обозначающее склонность к постоянному «откладыванию на потом» неприятных мыслей и дел; человек, осознавая необходимость выполнения вполне конкретных важных дел, игнорирует эту необходимость и отвлекается на мелочи или развлечения"
Спорадический,"непостоянный, случайный, являющийся иногда, от случая к случаю"
Филематология,"Дисциплина, которая изучает фундаментальные физиологические и психологические особенности человеческого поцелуя."
Крамольный,"бунтовской, мятежный, запрещенный."
Метафизика,"раздел философии, занимающийся исследованиями первоначальной природы реальности, бытия и мира как такового."
Аутодафе́,"дело веры, подвиг веры; сожжение на костре еретика, отступника от римского исповедания."
Кабала,"Долговое обязательство, ставящее должника в личную или имущественную зависимость"
Дисания,"это состояние, при котором тяжело с утра встать с постели."
Камарилья,"так в Испании в 1814 называлась группа лиц, обычно собиравшихся в передней короля Фердинанда VII и оказывавших на него сильное влияние; позже это слово стало нарицательным и означает группу придворных, старающихся влиять на ход событий скрытыми интригами, наушничеством, доносами и т. п.



"
Дивергенция,"производная от дивергента - расхождение, несостыковка. Нам никогда не быть вместе."
Диглоссия," особый вариант билингвизма, при котором на определённой территории или в обществе сосуществуют два языка или две формы одного языка, применяемые их носителями в различных функциональных сферах"
Узурпатор,"Человек, овладевшей силою или хитростью чем-либо, что принадлежит другому; узурпатором называют преимущественно того, кто завладевает престолом царствующего лица."
Конферансье́,"эстрадный артист, объявляющий концертные номера и выступающий в промежутках между ними"
Лоббировать,"влиять, оказывать воздействие на решения законодательских и исполнительных органов власти в пользу заинтересованного круга лиц"
Ассениза́тор,"Работник системы очистки городских нечистот, либо машина цистерна-насос для этих целей."
Калькуляция,Процесс математических вычислений
Эклектика,"смешение различных, зачастую противоположных точек зрения, философских взглядов, теоретических посылок, политических оценок"
Эпата́ж,"нарочито скандальное поведение, нарушение норм и обычаев с целью произвести впечатление."
Па́сквиль,"письменное сочинение или символическое изображение, содержащее в себе ложные, оскорбительные для кого-либо сведения"
Полиандрия,"Многомужество, редкая форма полигамии, при которой женщина состоит в нескольких брачных союзах с разными мужчинами."
Куконьки,маленькие половые органы
Перипети́я,"Внезапное осложняющее событие, а также резкое изменение, внезапный поворот в ходе событий, в чьей-н. судьбе"
Эфеме́рный,"Быстрый, скоротечный, мимолетный. Определенный момент прошедший очень быстро "
Анатидаефобия,"навязчивый страх, что где-то в мире есть утка, следящая за вами"
Андроги́нность,"Явление, при котором человек проявляет одновременно и женские, и мужские качества."
Ортодоксальный,"последовательно и неуклонно придерживающийся основ какого-либо учения, взглядов, мировоззрения."
Шибболет," библейское выражение, в переносном смысле обозначающее характерную речевую особенность, по которой можно опознать группу людей (в частности, этническую), своеобразный «речевой пароль», который неосознанно выдает человека, для которого язык — неродной."
Имманентность,"неотъемлемое свойство предмета; свойство, присущее ему по самой его природе."
Го́нор,"Преувеличенное чувство собственного достоинства; высокомерие, заносчивость."
Абляция,"Многозначный физический термин, обозначающий процесс уноса вещества с поверхности твёрдого тела под воздействием излучений и обтекающего потока горячего газа."
Амбигра́мма,"каллиграфический узор, позволяющий совместить два различных прочтения из одного и того же набора линий"
Моббинг,"форма психологического насилия в виде травли сотрудника в коллективе, как правило, с целью его последующего увольнения"
Резонёрство,"склонность к рассуждени­ям, не относящимся к выполняемой дея­тельности"
Импликация,"подразумевание, подтекст. Охватывает явления невыраженного, неявного, косвенного, ""завуалированного"" смысла."
Аверси́я,"отвращение, антипатия"
Горжетка,"Полоса меха или шкурка пушного зверя, которую в виде украшения или как деталь женского костюма носят вместо воротника."
Оппортунизм,"приспособленчество, соглашательство, беспринципность; компромисс с врагом"
Пацифист,"Тот, кто осуждает любые войны и выступает за их прекращение и предотвращение."
Дисклеймер,"отказ некоего информационного источника от ответственности за последствия от использования информации другими лицами, также отказ правообладателя от авторских прав"
Цейтно́т,"в партии в шахматы, шашки или иную настольную игру — недостаток времени для обдумывания ходов"
Адюльтер,"То же, что супружеская измена."
Теого́ния,совокупность мифов и верований о происхождении и родословии богов; стихийные силы в таких сказаниях обычно олицетворены
Репрезентативны,"репрезентативный - показательный, характеризующий "
Стагнация,"Застой производства и торговли на протяжении длительного периода. Стагнация сопровождается увеличением численности безработных, снижением заработной платы и уровня жизни населения."
Пралине́,"Десертный ингредиент из молотого миндаля, обжаренного в сахаре."
Эрзац,"(нем. Ersatz), или суррога́т — неполноценный заменитель чего-либо"
Априори,"не опираясь на изучение фактов, до опыта, независимо от опыта; заранее, предварительно"
Антропоморфизм,"Наделение человеческими качествами предметов, животных или явлений"
Гелиашер,"Художник, специализирующийся в рисунках на бумажных деньгах."
Чанкинг,Сознательный или бессознательный плевок едой
Ана́фема,"отлучение от церкви, проклятие за грехи против церкви"
Экстрактивность,"сумма всех веществ продукта, выраженная в % к массе сухих веществ, которые переходят из этого продукта в раствор"
Кондоминиум,"совместное владение, обладание единым объектом, чаще всего домом, но также и другим недвижимым имуществом"
Антисемит,"Человек, который враждебно относится к евреям."
Бруствер,"Насыпь в фортификационном сооружении, предназначенная для удобной стрельбы, защиты от пуль и снарядов, а также для укрытия от наблюдения противника."
Компендиум,сокращённое изложение основных положений какой-либо дисциплины
Конкубинат,Сожительство вне брака. 
Супостат,"враг, противник, оппонент"
Инсинуация,"преднамеренное сообщение отрицательных сведений, имеющее целью опорочить кого-либо, подаваемое намёком или тайно"
Буффона́да,"приём актёрской игры, для которого характерно стремление подчеркнуть внешние характерные признаки персонажа"
Брома́нс,тесные дружеские отношения между представителями мужского пола
Эполе́ты,наплечные знаки различия воинского звания на военной форме
Апостериори,на основании опыта или имеющихся фактов
Скрупулёзный,"чрезвычайно точный, аккуратный, педантичный, внимательный к мелочам"
Политес,установленный порядок соблюдения форм светского этикета
Цугцванг,"положение в шахматной партии, при котором игрок вынужден сделать невыгодный для себя ход; употребляется в переносном значении"
Хиротония," Рукоположение, возведение священника в сан."
Схи́зма,раскол в Церкви или иной религиозной организации
Катарсис,"нравственное очищение, возвышение души через искусство, возникающее в процессе сопереживания и сострадания, а не в результате какого-либо действия"
Импресарио,"содержатель театра, организатор зрелищных предприятий, устроитель концертов, а также агент, действующий от имени крупного артиста-гастролёра."
Субтильный,"имеющий хрупкое телосложение, нежный, тонкий, слабый."
Иносказа́ние,"аллегория, выражение, в котором содержится неявный, скрытый смысл"
Квинтэссенция,"cамое главное, самое важное, наиболее существенное, основная сущность"
Ангедони́я,"снижение или утрата способности получать удовольствие, сопровождающееся потерей активности в его достижении"
Презумпция,"предположение о существовании факта, которое считается истинным до тех пор, пока ложность его не будет бесспорно доказана"
Эвтана́зия,"(от греч. εὖ — хорошо + θάνᾰτος — смерть) — практика прекращения жизни человека, страдающего неизлечимым заболеванием, испытывающего невыносимые страдания."
Юзаби́лити,"степень, с которой продукт может быть использован определёнными пользователями при определённом контексте использования для достижения определённых целей с должной эффективностью, продуктивностью и удовлетворённостью"
